0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
301,36000.00,0.00,0.00,inf,0.00,540.68,-50.00,50.00,-27034.11
302,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
303,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
304,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
305,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
306,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
307,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
308,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
309,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
310,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
311,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
312,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
313,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
314,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
315,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
316,36000.00,0.00,0.00,inf,0.00,542.50,0.00,0.00,0.00
317,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
318,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
319,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
320,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
321,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
322,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
323,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
324,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
325,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
326,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
327,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
328,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
329,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
330,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
331,36000.00,0.00,0.00,inf,0.00,552.02,0.00,0.00,0.00
332,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
333,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
334,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
335,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
336,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
337,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
338,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
339,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
340,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
341,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
342,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
343,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
344,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
345,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
346,36000.00,0.00,0.00,inf,0.00,516.19,0.00,0.00,0.00
347,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
348,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
349,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
350,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
351,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
352,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
353,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
354,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
355,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
356,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
357,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
358,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
359,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
360,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
361,36000.00,0.00,0.00,inf,0.00,511.65,0.00,0.00,0.00
362,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
363,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
364,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
365,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
366,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
367,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
368,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
369,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
370,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
371,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
372,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
373,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
374,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
