location,time,rating
australiacentral,2022-10-14 08:30:00,809.2087880800001
australiacentral,2022-10-14 08:45:00,801.49771779
australiacentral,2022-10-14 09:00:00,800.13694068
australiacentral,2022-10-14 09:15:00,800.5905330500001
australiacentral,2022-10-14 09:30:00,800.13694068
australiacentral,2022-10-14 09:45:00,799.22975594
australiacentral,2022-10-14 10:00:00,798.77616357
australiacentral,2022-10-14 10:15:00,797.8689788300001
australiacentral,2022-10-14 10:30:00,798.3225712
australiacentral,2022-10-14 10:45:00,805.58004912
australiacentral,2022-10-14 11:00:00,814.65189652
australiacentral,2022-10-14 11:15:00,811.0231575600001
australiacentral,2022-10-14 11:30:00,814.65189652
australiacentral,2022-10-14 11:45:00,814.65189652
australiacentral,2022-10-14 12:00:00,806.03364149
australiacentral,2022-10-14 12:15:00,809.2087880800001
australiacentral,2022-10-14 12:30:00,810.11597282
australiacentral,2022-10-14 12:45:00,811.4767499300001
australiacentral,2022-10-14 13:00:00,811.4767499300001
australiacentral,2022-10-14 13:15:00,811.9303423
australiacentral,2022-10-14 13:30:00,811.9303423
australiacentral,2022-10-14 13:45:00,800.5905330500001
australiacentral,2022-10-14 14:00:00,797.8689788300001
australiacentral,2022-10-14 14:15:00,797.41538646
australiacentral,2022-10-14 14:30:00,797.41538646
australiacentral,2022-10-14 14:45:00,798.3225712
australiacentral,2022-10-14 15:00:00,819.18782022
australiacentral,2022-10-14 15:15:00,821.9093744400001
australiacentral,2022-10-14 15:30:00,821.9093744400001
australiacentral,2022-10-14 15:45:00,821.45578207
australiacentral,2022-10-14 16:00:00,821.9093744400001
australiacentral,2022-10-14 16:15:00,810.11597282
australiacentral,2022-10-14 16:30:00,809.2087880800001
australiacentral,2022-10-14 16:45:00,810.56956519
australiacentral,2022-10-14 17:00:00,810.56956519
australiacentral,2022-10-14 17:15:00,811.9303423
australiacentral,2022-10-14 17:30:00,815.55908126
australiacentral,2022-10-14 17:45:00,803.76567964
australiacentral,2022-10-14 18:00:00,798.77616357
australiacentral,2022-10-14 18:15:00,812.38393467
australiacentral,2022-10-14 18:30:00,812.38393467
australiacentral,2022-10-14 18:45:00,811.4767499300001
australiacentral,2022-10-14 19:00:00,811.4767499300001
australiacentral,2022-10-14 19:15:00,811.4767499300001
australiacentral,2022-10-14 19:30:00,811.4767499300001
australiacentral,2022-10-14 19:45:00,815.55908126
australiacentral,2022-10-14 20:00:00,807.3944186
australiacentral,2022-10-14 20:15:00,842.32103109
australiacentral,2022-10-14 20:30:00,870.44375803
australiacentral,2022-10-14 20:45:00,843.6818082000001
australiacentral,2022-10-14 21:00:00,881.32997491
australiacentral,2022-10-14 21:15:00,892.6697841600001
australiacentral,2022-10-14 21:30:00,843.6818082000001
australiacentral,2022-10-14 21:45:00,832.3419989500001
australiacentral,2022-10-14 22:00:00,831.43481421
australiacentral,2022-10-14 22:15:00,910.81347896
australiacentral,2022-10-14 22:30:00,356.07001045
