0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
199,0.30,10.00,0.00,inf,500.00,521.63,-3909.00,4419.00,-2039056.46
200,0.30,10.00,0.00,inf,500.00,521.63,-3884.00,4394.00,-2026015.68
201,0.30,10.00,0.00,inf,500.00,521.63,-4762.33,5272.33,-2484181.77
202,0.30,10.00,0.00,inf,500.00,521.63,-304.00,814.00,-158575.89
203,0.30,10.00,0.00,inf,500.00,521.63,-40.00,550.00,-20865.25
204,0.26,10.00,159.00,inf,500.00,521.63,10.00,341.00,5216.31
205,0.23,10.00,102.00,inf,500.00,521.63,10.00,398.00,5216.31
206,0.18,10.00,211.00,inf,500.00,521.63,10.00,289.00,5216.31
207,0.07,10.00,391.00,inf,500.00,521.63,10.00,109.00,5216.31
208,0.04,10.00,132.33,inf,500.00,521.63,10.00,367.67,5216.31
209,0.00,10.00,134.67,inf,500.00,521.63,222.00,153.33,115802.13
210,0.00,10.00,10.00,inf,500.00,521.63,282.33,217.67,147273.88
211,0.00,10.00,10.00,inf,500.00,540.23,180.33,319.67,97421.21
212,0.00,10.00,10.00,inf,500.00,540.23,86.00,414.00,46459.65
213,0.00,10.00,10.00,inf,500.00,540.23,250.00,250.00,135057.13
214,0.00,10.00,10.00,inf,500.00,540.23,159.00,341.00,85896.33
215,0.00,10.00,10.00,inf,500.00,540.23,102.00,398.00,55103.31
216,0.00,10.00,10.00,inf,500.00,540.23,211.00,289.00,113988.22
217,0.00,10.00,10.00,inf,500.00,540.23,391.00,109.00,211229.35
218,0.00,10.00,10.00,inf,500.00,540.23,132.33,367.67,71490.24
219,0.00,10.00,10.00,inf,500.00,540.23,346.67,153.33,187279.22
220,0.00,10.00,10.00,inf,500.00,540.23,282.33,217.67,152524.52
221,0.00,10.00,10.00,inf,500.00,540.23,380.33,119.67,205466.91
222,0.00,10.00,10.00,inf,500.00,540.23,359.00,141.00,193942.04
223,0.00,10.00,10.00,inf,500.00,540.23,302.00,198.00,163149.01
224,0.00,10.00,10.00,inf,500.00,540.23,211.00,289.00,113988.22
225,0.00,10.00,10.00,inf,500.00,540.23,391.00,109.00,211229.35
226,0.00,10.00,10.00,inf,500.00,554.74,132.33,367.67,73411.05
227,0.00,10.00,10.00,inf,500.00,554.74,173.67,326.33,96340.45
228,0.00,10.00,10.00,inf,500.00,554.74,205.00,295.00,113722.41
229,0.00,10.00,10.00,inf,500.00,554.74,329.67,170.33,182880.43
230,0.00,10.00,10.00,inf,500.00,554.74,380.00,120.00,210802.52
231,0.00,10.00,3.00,inf,500.00,554.74,10.00,497.00,5547.43
232,0.00,10.00,17.00,inf,500.00,554.74,79.00,414.00,43824.73
233,0.00,10.00,10.00,inf,500.00,554.74,250.00,250.00,138685.87
234,0.00,10.00,10.00,inf,500.00,554.74,159.00,341.00,88204.21
235,0.00,10.00,10.00,inf,500.00,554.74,102.00,398.00,56583.83
236,0.00,10.00,10.00,inf,500.00,554.74,211.00,289.00,117050.87
237,0.00,10.00,10.00,inf,500.00,554.74,391.00,109.00,216904.70
238,0.00,10.00,10.00,inf,500.00,554.74,132.33,367.67,73411.05
239,0.00,10.00,10.00,inf,500.00,554.74,346.67,153.33,192311.07
240,0.00,10.00,10.00,inf,500.00,554.74,282.33,217.67,156622.57
241,0.00,10.00,10.00,inf,500.00,549.75,380.33,119.67,209089.75
242,0.00,10.00,10.00,inf,500.00,549.75,159.00,341.00,87410.88
243,0.00,10.00,10.00,inf,500.00,549.75,102.00,398.00,56074.90
244,0.00,10.00,10.00,inf,500.00,549.75,211.00,289.00,115998.08
245,0.00,10.00,10.00,inf,500.00,549.75,391.00,109.00,214953.80
246,0.00,10.00,10.00,inf,500.00,549.75,132.33,367.67,72750.77
247,0.00,10.00,10.00,inf,500.00,549.75,173.67,326.33,95473.94
248,0.00,10.00,10.00,inf,500.00,549.75,205.00,295.00,112699.56
249,0.00,10.00,10.00,inf,500.00,549.75,129.67,370.33,71284.76
250,0.00,10.00,10.00,inf,500.00,549.75,180.00,320.00,98955.71
251,0.00,10.00,3.00,inf,500.00,549.75,10.00,497.00,5497.54
252,0.00,10.00,17.00,inf,500.00,549.75,173.00,320.00,95107.43
253,0.00,10.00,3.00,inf,500.00,549.75,10.00,497.00,5497.54
254,0.00,10.00,17.00,inf,500.00,549.75,79.00,414.00,43430.56
255,0.00,10.00,10.00,inf,500.00,549.75,250.00,250.00,137438.49
256,0.00,10.00,10.00,inf,500.00,526.62,159.00,341.00,83732.70
257,0.00,10.00,10.00,inf,500.00,526.62,102.00,398.00,53715.32
258,0.00,10.00,10.00,inf,500.00,526.62,211.00,289.00,111116.98
259,0.00,10.00,10.00,inf,500.00,526.62,391.00,109.00,205908.71
260,0.00,10.00,10.00,inf,500.00,526.62,132.33,367.67,69689.48
261,0.00,10.00,10.00,inf,500.00,526.62,346.67,153.33,182561.86
262,0.00,10.00,10.00,inf,500.00,526.62,159.00,341.00,83732.70
263,0.00,10.00,10.00,inf,500.00,526.62,102.00,398.00,53715.32
264,0.00,10.00,10.00,inf,500.00,526.62,211.00,289.00,111116.98
265,0.00,10.00,10.00,inf,500.00,526.62,391.00,109.00,205908.71
266,0.00,10.00,10.00,inf,500.00,526.62,132.33,367.67,69689.48
267,0.00,10.00,10.00,inf,500.00,526.62,73.67,426.33,38794.39
268,0.00,10.00,10.00,inf,500.00,526.62,205.00,295.00,107957.25
269,0.00,10.00,10.00,inf,500.00,526.62,129.67,370.33,68285.16
270,0.00,10.00,10.00,inf,500.00,526.62,180.00,320.00,94791.73
271,0.00,10.00,3.00,inf,500.00,522.54,10.00,497.00,5225.38
272,0.00,10.00,17.00,inf,500.00,522.54,79.00,414.00,41280.53
273,0.01,10.00,0.00,inf,500.00,522.54,-40.00,550.00,-20901.54
274,0.00,10.00,20.00,inf,500.00,522.54,149.00,341.00,77858.22
275,0.00,10.00,10.00,inf,500.00,522.54,102.00,398.00,53298.92
276,0.00,10.00,10.00,inf,500.00,522.54,11.00,489.00,5747.92
277,0.00,10.00,10.00,inf,500.00,522.54,391.00,109.00,204312.52
278,0.00,10.00,10.00,inf,500.00,522.54,132.33,367.67,69149.25
279,0.00,10.00,10.00,inf,500.00,522.54,346.67,153.33,181146.65
280,0.00,10.00,10.00,inf,500.00,522.54,391.00,109.00,204312.52
281,0.00,10.00,10.00,inf,500.00,522.54,132.33,367.67,69149.25
282,0.00,10.00,10.00,inf,500.00,522.54,346.67,153.33,181146.65
283,0.00,10.00,10.00,inf,500.00,522.54,159.00,341.00,83083.61
284,0.00,10.00,3.00,inf,500.00,522.54,10.00,497.00,5225.38
285,0.00,10.00,17.00,inf,500.00,522.54,173.00,320.00,90399.14
286,0.00,10.00,3.00,inf,500.00,540.68,10.00,497.00,5406.82
287,0.00,10.00,17.00,inf,500.00,540.68,79.00,414.00,42713.89
288,0.00,10.00,10.00,inf,500.00,540.68,250.00,250.00,135170.53
289,0.00,10.00,10.00,inf,500.00,540.68,159.00,341.00,85968.45
290,0.00,10.00,10.00,inf,500.00,540.68,102.00,398.00,55149.57
291,0.00,10.00,10.00,inf,500.00,540.68,11.00,489.00,5947.50
292,0.00,10.00,10.00,inf,500.00,540.68,391.00,109.00,211406.70
293,0.00,10.00,10.00,inf,500.00,540.68,159.00,341.00,85968.45
294,0.00,10.00,10.00,inf,500.00,540.68,102.00,398.00,55149.57
295,0.00,10.00,10.00,inf,500.00,540.68,11.00,489.00,5947.50
296,0.00,10.00,10.00,inf,500.00,540.68,391.00,109.00,211406.70
297,0.00,10.00,10.00,inf,500.00,540.68,346.67,153.33,187436.46
298,0.00,10.00,10.00,inf,500.00,540.68,180.00,320.00,97322.78
299,0.00,10.00,10.00,inf,500.00,540.68,391.00,109.00,211406.70
300,0.00,10.00,10.00,inf,500.00,540.68,346.67,153.33,187436.46
301,0.00,10.00,10.00,inf,500.00,542.50,450.00,50.00,244123.41
302,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
303,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
304,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
305,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
306,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
307,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
308,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
309,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
310,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
311,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
312,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
313,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
314,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
315,0.00,10.00,10.00,inf,500.00,542.50,500.00,0.00,271248.24
316,0.00,10.00,10.00,inf,500.00,552.02,500.00,0.00,276010.96
317,0.00,10.00,10.00,inf,500.00,552.02,500.00,0.00,276010.96
318,0.00,10.00,10.00,inf,500.00,552.02,500.00,0.00,276010.96
319,0.00,10.00,10.00,inf,500.00,552.02,500.00,0.00,276010.96
320,0.00,10.00,10.00,inf,500.00,552.02,500.00,0.00,276010.96
321,0.00,10.00,10.00,inf,500.00,552.02,500.00,0.00,276010.96
