PV
Date,P # [W]
2014-01-01 14:10:48, -6781.0
2014-01-01 14:10:49, -6239.66666667
2014-01-01 14:10:50, -3149.66666667
2014-01-01 14:10:51, -3952.33333333
2014-01-01 14:10:52, -3671.0
2014-01-01 14:10:53, -4685.33333333
2014-01-01 14:10:54, -3241.33333333
2014-01-01 14:10:55, -3719.33333333
2014-01-01 14:10:56, -5000.33333333
2014-01-01 14:10:57, -4681.66666667
2014-01-01 14:10:58, -3791.33333333
2014-01-01 14:10:59, -5789.0
2014-01-01 14:11:00, -5142.33333333
2014-01-01 14:11:01, -6799.66666667
2014-01-01 14:11:02, -5382.66666667
2014-01-01 14:11:03, -5490.33333333
2014-01-01 14:11:04, -4687.33333333
2014-01-01 14:11:05, -6022.66666667
2014-01-01 14:11:06, -6833.0
2014-01-01 14:11:07, -5240.0
2014-01-01 14:11:08, -2768.33333333
2014-01-01 14:11:09, -5200.66666667
2014-01-01 14:11:10, -2897.66666667
2014-01-01 14:11:11, -1954.33333333
2014-01-01 14:11:12, -6341.33333333
2014-01-01 14:11:13, -5237.0
2014-01-01 14:11:14, -5173.33333333
2014-01-01 14:11:15, -2805.33333333
2014-01-01 14:11:16, -5060.66666667
2014-01-01 14:11:17, -6639.0
2014-01-01 14:11:18, -4419.0
2014-01-01 14:11:19, -4394.0
2014-01-01 14:11:20, -5272.33333333
2014-01-01 14:11:21, -814.0
2014-01-01 14:11:22, -550.0
2014-01-01 14:11:23, -341.0
2014-01-01 14:11:24, -398.0
2014-01-01 14:11:25, -289.0
2014-01-01 14:11:26, -109.0
2014-01-01 14:11:27, -367.666666667
2014-01-01 14:11:28, -153.333333333
2014-01-01 14:11:29, -217.666666667
2014-01-01 14:11:30, -319.666666667
2014-01-01 14:11:31, -414.0
2014-01-01 14:11:32, -250.0
2014-01-01 14:11:33, -341.0
2014-01-01 14:11:34, -398.0
2014-01-01 14:11:35, -289.0
2014-01-01 14:11:36, -109.0
2014-01-01 14:11:37, -367.666666667
2014-01-01 14:11:38, -153.333333333
2014-01-01 14:11:39, -217.666666667
2014-01-01 14:11:40, -119.666666667
2014-01-01 14:11:41, -141.0
2014-01-01 14:11:42, -198.0
2014-01-01 14:11:43, -289.0
2014-01-01 14:11:44, -109.0
2014-01-01 14:11:45, -367.666666667
2014-01-01 14:11:46, -326.333333333
2014-01-01 14:11:47, -295.0
2014-01-01 14:11:48, -170.333333333
2014-01-01 14:11:49, -120.0
2014-01-01 14:11:50, -497.0
2014-01-01 14:11:51, -414.0
2014-01-01 14:11:52, -250.0
2014-01-01 14:11:53, -341.0
2014-01-01 14:11:54, -398.0
2014-01-01 14:11:55, -289.0
2014-01-01 14:11:56, -109.0
2014-01-01 14:11:57, -367.666666667
2014-01-01 14:11:58, -153.333333333
2014-01-01 14:11:59, -217.666666667
2014-01-01 14:12:00, -119.666666667
2014-01-01 14:12:01, -341.0
2014-01-01 14:12:02, -398.0
2014-01-01 14:12:03, -289.0
2014-01-01 14:12:04, -109.0
2014-01-01 14:12:05, -367.666666667
2014-01-01 14:12:06, -326.333333333
2014-01-01 14:12:07, -295.0
2014-01-01 14:12:08, -370.333333333
2014-01-01 14:12:09, -320.0
2014-01-01 14:12:10, -497.0
2014-01-01 14:12:11, -320.0
2014-01-01 14:12:12, -497.0
2014-01-01 14:12:13, -414.0
2014-01-01 14:12:14, -250.0
2014-01-01 14:12:15, -341.0
2014-01-01 14:12:16, -398.0
2014-01-01 14:12:17, -289.0
2014-01-01 14:12:18, -109.0
2014-01-01 14:12:19, -367.666666667
2014-01-01 14:12:20, -153.333333333
2014-01-01 14:12:21, -341.0
2014-01-01 14:12:22, -398.0
2014-01-01 14:12:23, -289.0
2014-01-01 14:12:24, -109.0
2014-01-01 14:12:25, -367.666666667
2014-01-01 14:12:26, -426.333333333
2014-01-01 14:12:27, -295.0
2014-01-01 14:12:28, -370.333333333
2014-01-01 14:12:29, -320.0
2014-01-01 14:12:30, -497.0
2014-01-01 14:12:31, -414.0
2014-01-01 14:12:32, -550.0
2014-01-01 14:12:33, -341.0
2014-01-01 14:12:34, -398.0
2014-01-01 14:12:35, -489.0
2014-01-01 14:12:36, -109.0
2014-01-01 14:12:37, -367.666666667
2014-01-01 14:12:38, -153.333333333
2014-01-01 14:12:39, -109.0
2014-01-01 14:12:40, -367.666666667
2014-01-01 14:12:41, -153.333333333
2014-01-01 14:12:42, -341.0
2014-01-01 14:12:43, -497.0
2014-01-01 14:12:44, -320.0
2014-01-01 14:12:45, -497.0
2014-01-01 14:12:46, -414.0
2014-01-01 14:12:47, -250.0
2014-01-01 14:12:48, -341.0
2014-01-01 14:12:49, -398.0
2014-01-01 14:12:50, -489.0
2014-01-01 14:12:51, -109.0
2014-01-01 14:12:52, -341.0
2014-01-01 14:12:53, -398.0
2014-01-01 14:12:54, -489.0
2014-01-01 14:12:55, -109.0
2014-01-01 14:12:56, -153.333333333
2014-01-01 14:12:57, -320.0
2014-01-01 14:12:58, -109.0
2014-01-01 14:12:59, -153.333333333
2014-01-01 14:13:00, -50.0
2014-01-01 14:13:01, 0.0
2014-01-01 14:13:02, 0.0
2014-01-01 14:13:03, 0.0
2014-01-01 14:13:04, 0.0
2014-01-01 14:13:05, 0.0
2014-01-01 14:13:06, 0.0
2014-01-01 14:13:07, 0.0
2014-01-01 14:13:08, 0.0
2014-01-01 14:13:09, 0.0
2014-01-01 14:13:10, 0.0
2014-01-01 14:13:11, 0.0
2014-01-01 14:13:12, 0.0
2014-01-01 14:13:13, 0.0
2014-01-01 14:13:14, 0.0
2014-01-01 14:13:15, 0.0
2014-01-01 14:13:16, 0.0
2014-01-01 14:13:17, 0.0
2014-01-01 14:13:18, 0.0
2014-01-01 14:13:19, 0.0
2014-01-01 14:13:20, 0.0
2014-01-01 14:13:21, 0.0
2014-01-01 14:13:22, 0.0
2014-01-01 14:13:23, 0.0
2014-01-01 14:13:24, 0.0
2014-01-01 14:13:25, 0.0
2014-01-01 14:13:26, 0.0
2014-01-01 14:13:27, 0.0
2014-01-01 14:13:28, 0.0
2014-01-01 14:13:29, 0.0
2014-01-01 14:13:30, 0.0
2014-01-01 14:13:31, 0.0
2014-01-01 14:13:32, 0.0
2014-01-01 14:13:33, 0.0
2014-01-01 14:13:34, 0.0
2014-01-01 14:13:35, 0.0
2014-01-01 14:13:36, 0.0
2014-01-01 14:13:37, 0.0
2014-01-01 14:13:38, 0.0
2014-01-01 14:13:39, 0.0
2014-01-01 14:13:40, 0.0
2014-01-01 14:13:41, 0.0
2014-01-01 14:13:42, 0.0
2014-01-01 14:13:43, 0.0
2014-01-01 14:13:44, 0.0
2014-01-01 14:13:45, 0.0
2014-01-01 14:13:46, 0.0
2014-01-01 14:13:47, 0.0
2014-01-01 14:13:48, 0.0
2014-01-01 14:13:49, 0.0
2014-01-01 14:13:50, 0.0
2014-01-01 14:13:51, 0.0
2014-01-01 14:13:52, 0.0
2014-01-01 14:13:53, 0.0
2014-01-01 14:13:54, 0.0
2014-01-01 14:13:55, 0.0
2014-01-01 14:13:56, 0.0
2014-01-01 14:13:57, 0.0
2014-01-01 14:13:58, 0.0
2014-01-01 14:13:59, 0.0
2014-01-01 14:14:00, 0.0
2014-01-01 14:14:01, 0.0
2014-01-01 14:14:02, 0.0
2014-01-01 14:14:03, 0.0
2014-01-01 14:14:04, 0.0
2014-01-01 14:14:05, 0.0
2014-01-01 14:14:06, 0.0
2014-01-01 14:14:07, 0.0
2014-01-01 14:14:08, 0.0
2014-01-01 14:14:09, 0.0
2014-01-01 14:14:10, 0.0
2014-01-01 14:14:11, 0.0
2014-01-01 14:14:12, 0.0
2014-01-01 14:14:13, 0.0
2014-01-01 14:14:14, 0.0
2014-01-01 14:14:15, 0.0
2014-01-01 14:14:16, 0.0
2014-01-01 14:14:17, 0.0
2014-01-01 14:14:18, 0.0
2014-01-01 14:14:19, 0.0
2014-01-01 14:14:20, 0.0
2014-01-01 14:14:21, 0.0
2014-01-01 14:14:22, 0.0
2014-01-01 14:14:23, 0.0
2014-01-01 14:14:24, 0.0
2014-01-01 14:14:25, 0.0
2014-01-01 14:14:26, 0.0
2014-01-01 14:14:27, 0.0
2014-01-01 14:14:28, 0.0
2014-01-01 14:14:29, 0.0
2014-01-01 14:14:30, 0.0
2014-01-01 14:14:31, 0.0
2014-01-01 14:14:32, 0.0
2014-01-01 14:14:33, 0.0
2014-01-01 14:14:34, 0.0
2014-01-01 14:14:35, 0.0
2014-01-01 14:14:36, 0.0
2014-01-01 14:14:37, 0.0
2014-01-01 14:14:38, 0.0
2014-01-01 14:14:39, 0.0
2014-01-01 14:14:40, 0.0
2014-01-01 14:14:41, 0.0
2014-01-01 14:14:42, 0.0
2014-01-01 14:14:43, 0.0
2014-01-01 14:14:44, 0.0
2014-01-01 14:14:45, 0.0
2014-01-01 14:14:46, 0.0
2014-01-01 14:14:47, 0.0
2014-01-01 14:14:48, 0.0
2014-01-01 14:14:49, 0.0
2014-01-01 14:14:50, 0.0
2014-01-01 14:14:51, 0.0
2014-01-01 14:14:52, 0.0
2014-01-01 14:14:53, 0.0
2014-01-01 14:14:54, 0.0
2014-01-01 14:14:55, 0.0
2014-01-01 14:14:56, 0.0
2014-01-01 14:14:57, 0.0
2014-01-01 14:14:58, 0.0
2014-01-01 14:14:59, 0.0
2014-01-01 14:15:00, 0.0
2014-01-01 14:15:01, 0.0
2014-01-01 14:15:02, 0.0
2014-01-01 14:15:03, 0.0
