0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
157,0.07,5.00,0.00,inf,500.00,523.45,-692.60,1197.60,-362538.42
158,0.08,5.00,0.00,inf,500.00,523.45,-155.67,660.67,-81483.03
159,0.08,5.00,0.00,inf,500.00,523.45,-379.67,884.67,-198734.84
160,0.08,5.00,0.00,inf,500.00,523.45,-956.73,1461.73,-500797.85
161,0.08,5.00,0.00,inf,500.00,523.45,-1021.13,1526.13,-534507.75
162,0.08,5.00,0.00,inf,500.00,523.45,-1450.47,1955.47,-759240.39
163,0.08,5.00,0.00,inf,500.00,523.45,-270.20,775.20,-141435.00
164,0.08,5.00,0.00,inf,500.00,523.45,-670.47,1175.47,-350952.82
165,0.09,5.00,0.00,inf,500.00,523.45,-981.67,1486.67,-513849.09
166,0.09,5.00,0.00,inf,500.00,526.62,-495.40,1000.40,-260887.92
167,0.09,5.00,0.00,inf,500.00,526.62,-1374.20,1879.20,-723682.22
168,0.09,5.00,0.00,inf,500.00,526.62,-1904.07,2409.07,-1002721.00
169,0.09,5.00,0.00,inf,500.00,526.62,-2207.40,2712.40,-1162462.62
170,0.09,5.00,0.00,inf,500.00,526.62,-1990.87,2495.87,-1048431.68
171,0.09,5.00,0.00,inf,500.00,526.62,-754.87,1259.87,-397528.44
172,0.10,5.00,0.00,inf,500.00,526.62,-1075.93,1580.93,-566608.81
173,0.10,5.00,0.00,inf,500.00,526.62,-963.40,1468.40,-507346.42
174,0.10,5.00,0.00,inf,500.00,526.62,-1369.13,1874.13,-721014.01
175,0.10,5.00,0.00,inf,500.00,526.62,-791.53,1296.53,-416837.87
176,0.10,5.00,0.00,inf,500.00,526.62,-982.73,1487.73,-517527.76
177,0.10,5.00,0.00,inf,500.00,526.62,-1495.13,2000.13,-787368.22
178,0.10,5.00,0.00,inf,500.00,526.62,-1367.67,1872.67,-720241.63
179,0.11,5.00,0.00,inf,500.00,526.62,-1011.53,1516.53,-532694.43
180,0.11,5.00,0.00,inf,500.00,526.62,-1810.60,2315.60,-953499.51
181,0.11,5.00,0.00,inf,500.00,520.27,-1551.93,2056.93,-807425.05
182,0.11,5.00,0.00,inf,500.00,520.27,-2214.87,2719.87,-1152329.67
183,0.11,5.00,0.00,inf,500.00,520.27,-1648.07,2153.07,-857440.38
184,0.11,5.00,0.00,inf,500.00,520.27,-1691.13,2196.13,-879846.70
185,0.11,5.00,0.00,inf,500.00,520.27,-1369.93,1874.93,-712735.83
186,0.12,5.00,0.00,inf,500.00,520.27,-1904.07,2409.07,-990629.62
187,0.12,5.00,0.00,inf,500.00,520.27,-2228.20,2733.20,-1159266.61
188,0.12,5.00,0.00,inf,500.00,520.27,-1591.00,2096.00,-827750.28
189,0.12,5.00,0.00,inf,500.00,520.27,-602.33,1107.33,-313376.23
190,0.12,5.00,0.00,inf,500.00,520.27,-1575.27,2080.27,-819564.70
191,0.12,5.00,0.00,inf,500.00,520.27,-654.07,1159.07,-340291.56
192,0.12,5.00,0.00,inf,500.00,520.27,-276.73,781.73,-143976.18
193,0.12,5.00,0.00,inf,500.00,520.27,-2031.53,2536.53,-1056946.76
194,0.13,5.00,0.00,inf,500.00,520.27,-1589.80,2094.80,-827125.96
195,0.13,5.00,0.00,inf,500.00,520.27,-1564.33,2069.33,-813876.40
196,0.13,5.00,0.00,inf,500.00,521.63,-617.13,1122.13,-321916.02
197,0.13,5.00,0.00,inf,500.00,521.63,-1519.27,2024.27,-792496.93
198,0.13,5.00,0.00,inf,500.00,521.63,-2150.60,2655.60,-1121820.11
199,0.13,5.00,0.00,inf,500.00,521.63,-1262.60,1767.60,-658611.59
200,0.13,5.00,0.00,inf,500.00,521.63,-1252.60,1757.60,-653395.27
201,0.14,5.00,0.00,inf,500.00,521.63,-1603.93,2108.93,-836661.71
202,0.14,5.00,0.00,inf,500.00,521.63,-1123.00,1628.00,-585791.87
203,0.14,5.00,0.00,inf,500.00,521.63,-595.00,1100.00,-310370.58
204,0.14,5.00,0.00,inf,500.00,521.63,-177.00,682.00,-92328.73
205,0.14,5.00,0.00,inf,500.00,521.63,-291.00,796.00,-151794.69
206,0.14,5.00,0.00,inf,500.00,521.63,-73.00,578.00,-38079.08
207,0.07,5.00,282.00,inf,500.00,521.63,5.00,218.00,2608.16
208,0.07,5.00,0.00,inf,500.00,521.63,-230.33,735.33,-120149.06
209,0.02,5.00,193.33,inf,500.00,521.63,5.00,306.67,2608.16
210,0.00,5.00,54.67,inf,500.00,521.63,15.00,435.33,7824.47
211,0.00,5.00,0.00,inf,500.00,540.23,-134.33,639.33,-72570.70
212,0.00,5.00,0.00,inf,500.00,540.23,-323.00,828.00,-174493.81
213,0.01,5.00,0.00,inf,500.00,540.23,5.00,500.00,2701.14
214,0.01,5.00,0.00,inf,500.00,540.23,-177.00,682.00,-95620.45
215,0.01,5.00,0.00,inf,500.00,540.23,-291.00,796.00,-157206.50
216,0.01,5.00,0.00,inf,500.00,540.23,-73.00,578.00,-39436.68
217,0.00,5.00,35.00,inf,500.00,540.23,252.00,218.00,136137.59
218,0.00,5.00,0.00,inf,500.00,540.23,-230.33,735.33,-124432.63
219,0.00,5.00,10.00,inf,500.00,540.23,188.33,306.67,101743.04
220,0.00,5.00,5.00,inf,500.00,540.23,64.67,435.33,34934.78
221,0.00,5.00,5.00,inf,500.00,540.23,260.67,239.33,140819.57
222,0.00,5.00,5.00,inf,500.00,540.23,218.00,282.00,117769.82
223,0.00,5.00,5.00,inf,500.00,540.23,104.00,396.00,56183.77
224,0.00,5.00,0.00,inf,500.00,540.23,-73.00,578.00,-39436.68
225,0.00,5.00,10.00,inf,500.00,540.23,277.00,218.00,149643.30
226,0.00,5.00,0.00,inf,500.00,554.74,-230.33,735.33,-127775.91
227,0.00,5.00,0.00,inf,500.00,554.74,-147.67,652.67,-81917.12
228,0.01,5.00,0.00,inf,500.00,554.74,-85.00,590.00,-47153.19
229,0.00,5.00,20.00,inf,500.00,554.74,144.33,340.67,80067.97
230,0.00,5.00,5.00,inf,500.00,554.74,260.00,240.00,144233.30
231,0.00,5.00,0.00,inf,500.00,554.74,-489.00,994.00,-271269.56
232,0.00,5.00,0.00,inf,500.00,554.74,-323.00,828.00,-179182.14
233,0.01,5.00,0.00,inf,500.00,554.74,5.00,500.00,2773.72
234,0.01,5.00,0.00,inf,500.00,554.74,-177.00,682.00,-98189.59
235,0.01,5.00,0.00,inf,500.00,554.74,-291.00,796.00,-161430.35
236,0.01,5.00,0.00,inf,500.00,554.74,-73.00,578.00,-40496.27
237,0.00,5.00,35.00,inf,500.00,554.74,252.00,218.00,139795.35
238,0.00,5.00,0.00,inf,500.00,554.74,-230.33,735.33,-127775.91
239,0.00,5.00,10.00,inf,500.00,554.74,188.33,306.67,104476.69
240,0.00,5.00,5.00,inf,500.00,554.74,64.67,435.33,35873.41
241,0.00,5.00,5.00,inf,500.00,549.75,260.67,239.33,143302.53
242,0.00,5.00,0.00,inf,500.00,549.75,-177.00,682.00,-97306.45
